Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-158,2,415.49,4587.72,31.16,55.52,139.21,155.38,170.17,2.94,4.58,6.24,1.25,0.95,1.76,0.15,0.37,0.39,0.02,294.73,78.15,0.13,124.43,33.18,0,0.07,0,0.34,0.94,0,1.95,0.31,0.72,0.95,0.96,4.59,0.53,110.46,116.57,75.29,90.65,50.44,-11.34,26.01,113.49,28.38,2.64,0.82,0.13
CAPS-159,2,309.68,3878.74,38.04,47.67,110.49,116.08,118.03,2.43,2.92,3.22,0.98,0.65,1.53,0.09,0.31,0.45,0.05,249.8,158.03,0.21,79.27,58.57,0,0.02,0,0.3,0.4,0,0.91,0.3,0.75,0.87,0.9,2.93,0.46,125.73,62.1,49.03,82.21,36.43,28.59,23.89,39.64,37.28,2.36,0.56,0.25
CAPS-160,2,278.48,4026.75,64.81,69.41,59.46,76.28,80.05,1.11,0.93,1.24,0.99,0.69,1.44,0.11,0.13,0.57,0.12,234.23,272.68,0.46,83.48,74.68,0.05,0.03,0,0.34,0.27,0,0.73,0.27,0.62,0.89,0.88,0.93,0.52,106.84,109.04,72.45,86.13,47.18,-8.58,23.63,109.9,25.14,2.87,0.83,0.16
CAPS-161,2,278.5,3861.1,61.68,63.39,62.84,77.13,83.41,1.22,1.02,1.36,0.89,0.66,1.36,0.09,0.11,0.56,0.09,240.13,249.63,0.35,263.9,262.9,0.04,0,0,0.17,0.25,0,0.42,0.45,0.65,0.89,0.87,1.02,0.5,125.61,122.73,84.51,99.15,53.87,-6.73,25.42,104.81,26.29,2.57,0.73,0.14
CAPS-162,2,453.24,7455.84,49.59,57.71,161.18,177.63,179.91,3.1,3.28,3.72,1.06,0.47,2.3,0.09,0.34,0.48,0.04,246.8,130.83,0.15,46.7,45.73,0,0.01,0,0.44,0.34,0,1.75,0.25,0.73,0.88,0.91,3.29,0.46,107.47,47.18,40.93,69.61,29.48,29.06,19,33.19,34.72,3.57,0.73,0.14
CAPS-163,2,216.62,2250.1,75.82,77.07,24.36,38.99,41.22,0.51,0.32,0.55,0.81,0.55,1.75,0.11,0.29,0.58,0.18,215.35,252.95,0.63,151.43,188.13,0.2,0.02,0.04,0.13,0.39,0.06,0.16,0.48,0.5,0.89,0.88,0.32,0.59,146.8,71.98,57.71,96.12,42.43,32.66,27.71,40.34,42.86,2.48,0.77,0.12
CAPS-164,2,268.7,3368.01,93.25,94.01,27.12,49.45,51.71,0.53,0.29,0.55,0.65,0.57,1.3,0.12,0.3,0.55,0.18,212.37,277.2,0.52,220.83,194.1,0.14,0.01,0.05,0.14,0.61,0.09,0.21,0.44,0.44,0.89,0.88,0.29,0.63,141.95,72.14,59.28,94.54,41.71,30.49,25.15,39.61,39.54,2.29,0.75,0.13
CAPS-165,2,250.98,3358.79,75.57,79.12,41.99,57.15,62.85,0.73,0.58,0.84,0.91,0.57,1.73,0.1,0.17,0.54,0.1,227.53,257,0.29,135.3,117.53,0.03,0.01,0,0.28,0.23,0,0.49,0.34,0.58,0.89,0.89,0.58,0.54,141.97,76.18,61.6,95.72,42.66,28.37,25.36,41.86,38.07,2.09,0.87,0.13
CAPS-166,2,531.55,4866.6,24.38,44.76,185.62,227.78,234.24,5.09,7.88,9.85,1.05,0.6,1.75,0.18,0.45,0.32,0.04,64.73,122.8,0.01,50.5,11.47,0,0.35,0,0.42,0.79,0,2.36,0.16,0.65,1.04,1.01,7.92,0.54,113.43,116.78,77.08,91.45,50.9,-9.78,25.36,111.07,27.18,3.04,0.68,0.17
CAPS-168,2,309.8,4341.25,44.37,47.92,108.75,119.38,118.68,2.48,2.43,2.7,0.83,0.49,1.83,0.07,0.28,0.48,0.05,261.45,82.9,0.22,62.85,63.25,0,0.17,0,0.21,0.27,0,1.01,0.45,0.72,0.88,0.89,2.43,0.44,111.4,47.69,40.78,71.44,30.38,30.42,20.57,34.04,36.72,2.84,0.72,0.15
CAPS-169,2,254.63,3225.4,82.53,83.5,31.14,54.5,55.97,0.65,0.38,0.67,0.4,0.62,0.84,0.11,0.25,0.5,0.17,225.35,288.33,0.46,164.33,206.25,0.08,0.01,0.09,0.05,0.63,0.31,0.12,0.46,0.45,0.89,0.88,0.38,0.6,137.92,68.85,55.67,90.97,40.27,30.54,25.64,40.03,39.89,3.54,0.7,0.15
CAPS-171,2,319.83,4091.44,39.54,47.47,115.2,123.95,124.97,2.76,3.23,3.43,1.06,0.51,2.12,0.09,0.31,0.45,0.03,271.73,58.33,0.12,84.73,40.43,0,0.06,0,0.39,0.28,0,1.25,0.27,0.74,0.89,0.9,3.24,0.46,125.86,59.86,49.38,82.36,35.91,30.17,22.99,37.39,37.94,4.22,0.52,0.12
CAPS-173,2,256.99,2796.02,39.94,47.94,71.52,90.47,90.99,1.9,1.79,2.27,0.84,0.39,2.31,0.1,0.22,0.38,0.08,258.1,209.68,0.37,78.43,50.63,0,0.16,0,0.34,0.42,0,1.04,0.25,0.63,0.83,0.85,1.79,0.49,106.28,53.53,45.4,71.19,30.83,25,17.81,35.52,30.74,4.42,0.99,0.09
CAPS-174,2,182.31,1359.68,21.87,26.25,71.25,76.6,77.22,2.92,3.27,3.56,0.98,0.33,3.03,0.1,0.34,0.36,0,129.58,90.3,0,106.63,38.7,0,0.07,0,0.45,0.15,0,1,0.27,0.74,0.89,0.86,3.28,0.43,105.56,112.87,71.84,87.61,48.78,-11.89,25.8,114.75,28.41,2.11,0.69,0.17
