Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-64,3,204.73,1753.24,26.44,33.06,72.05,78.06,78.59,2.41,2.76,3.00,1.13,0.40,2.93,0.09,0.29,0.42,0.05,288.65,156.43,0.20,49.13,45.63,0.00,0.09,0.00,0.49,0.09,0.00,1.05,0.23,0.74,0.89,0.89,2.77,0.46,127.17,56.00,45.93,81.29,35.13,32.57,24.40,36.67,40.71,3.70,0.90,0.16
CAPS-65,3,237.04,1623.40,20.36,26.20,88.43,100.92,102.78,3.99,4.37,5.15,0.81,0.46,1.95,0.09,0.40,0.36,0.02,223.88,35.13,0.05,31.83,24.23,0.00,0.15,0.05,0.25,0.30,0.48,1.02,0.44,0.70,0.90,0.92,4.39,0.44,142.33,63.80,51.74,91.26,39.89,35.11,27.76,38.34,44.76,3.79,0.57,0.25
CAPS-66,3,377.36,2854.25,20.85,49.17,128.74,140.99,160.77,3.51,6.21,7.55,1.20,0.76,1.80,0.15,0.39,0.34,0.03,127.40,16.93,0.07,28.68,26.93,0.00,0.33,0.00,0.22,1.03,0.00,2.49,0.41,0.73,1.01,0.98,6.25,0.53,142.72,62.46,49.59,90.43,39.51,35.85,28.74,38.75,45.96,5.02,0.62,0.21
CAPS-67,3,205.96,1689.25,25.38,26.73,76.01,80.24,80.36,3.04,3.07,3.31,0.83,0.72,1.15,0.08,0.33,0.56,0.04,213.85,61.78,0.11,91.58,70.18,0.02,0.17,0.00,0.22,0.09,0.00,0.39,0.41,0.76,0.89,0.89,3.09,0.43,124.45,72.64,58.84,86.16,38.83,22.46,20.51,42.57,30.47,3.69,0.64,0.21
CAPS-76,3,141.87,1073.45,25.48,27.94,47.90,52.87,52.85,1.92,1.91,2.14,0.92,0.41,2.29,0.08,0.21,0.47,0.04,235.35,144.45,0.13,100.43,75.08,0.00,0.09,0.00,0.34,0.11,0.00,0.49,0.34,0.72,0.88,0.90,1.91,0.43,136.01,140.18,90.56,109.74,60.41,-12.06,31.39,111.04,33.64,1.22,0.59,0.24
CAPS-81,3,270.22,3127.34,35.56,39.43,102.79,109.88,110.33,2.78,2.89,3.13,0.91,0.42,2.19,0.08,0.31,0.42,0.02,192.60,106.78,0.09,60.00,43.20,0.00,0.00,0.00,0.36,0.17,0.00,1.01,0.33,0.75,0.89,0.89,2.90,0.41,137.66,70.32,58.19,92.06,40.62,29.81,24.12,38.76,38.40,3.71,0.60,0.22
CAPS-82,3,327.22,5245.61,55.31,62.23,103.27,116.42,116.94,1.87,1.87,2.13,1.03,0.45,2.36,0.09,0.21,0.47,0.06,228.68,236.15,0.30,81.73,74.15,0.00,0.02,0.00,0.42,0.23,0.00,1.28,0.25,0.71,0.88,0.90,1.87,0.45,145.46,73.14,58.43,95.90,42.68,31.59,27.48,41.09,41.89,3.56,0.62,0.21
CAPS-83,3,321.87,5615.54,62.97,63.46,104.65,114.87,115.15,1.81,1.67,1.83,0.80,0.47,1.73,0.06,0.18,0.51,0.06,285.83,110.45,0.18,105.45,87.73,0.00,0.02,0.00,0.19,0.16,0.00,0.64,0.48,0.73,0.89,0.89,1.67,0.41,125.19,55.80,45.55,80.19,34.86,31.95,24.31,37.21,40.15,3.94,0.64,0.21
CAPS-84,3,338.28,4790.43,41.63,48.60,130.01,137.31,137.39,2.85,3.20,3.39,1.07,0.41,2.64,0.09,0.32,0.44,0.03,209.30,121.73,0.09,54.53,39.95,0.00,0.15,0.00,0.49,0.24,0.00,1.65,0.22,0.76,0.89,0.90,3.21,0.44,130.40,59.47,48.02,83.84,36.63,32.22,25.23,37.94,40.93,3.62,0.58,0.23
CAPS-85,3,311.22,5032.78,57.36,60.37,99.40,113.20,114.47,1.89,1.74,2.01,0.89,0.36,2.51,0.07,0.20,0.46,0.05,254.68,102.38,0.13,74.30,68.13,0.00,0.03,0.00,0.34,0.28,0.00,0.96,0.37,0.70,0.89,0.88,1.74,0.43,119.73,55.43,45.82,77.80,33.76,29.87,22.27,36.73,37.27,6.07,0.62,0.21
